,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,Jakarta,kualitas_udara
0,2016-01-01,1,59.0,19.0,27.0,31.0,1.0,59.0,PM10,SEDANG,Jakarta_Pusat,2
1,2016-01-02,1,52.0,19.0,16.0,33.0,2.0,52.0,PM10,SEDANG,Jakarta_Pusat,2
2,2016-01-03,1,44.0,19.0,16.0,36.0,2.0,44.0,PM10,BAIK,Jakarta_Pusat,3
3,2016-01-04,1,58.0,21.0,16.0,46.0,5.0,58.0,PM10,SEDANG,Jakarta_Pusat,2
4,2016-01-05,1,70.0,19.0,16.0,41.0,4.0,70.0,PM10,SEDANG,Jakarta_Pusat,2
5,2016-01-06,1,69.0,19.0,16.0,19.0,4.0,69.0,PM10,SEDANG,Jakarta_Pusat,2
6,2016-01-07,1,58.0,19.0,16.0,25.0,3.0,58.0,PM10,SEDANG,Jakarta_Pusat,2
7,2016-01-08,1,46.0,24.0,16.0,59.33919741346519,3.0,46.0,PM10,BAIK,Jakarta_Pusat,3
8,2016-01-09,1,51.0,32.0,16.0,59.33919741346519,2.0,51.0,PM10,SEDANG,Jakarta_Pusat,2
9,2016-01-10,1,59.0,39.0,16.0,43.0,3.0,59.0,PM10,SEDANG,Jakarta_Pusat,2
10,2016-01-11,1,66.0,38.0,16.0,29.0,3.0,66.0,PM10,SEDANG,Jakarta_Pusat,2
11,2016-01-12,1,60.0,37.0,16.0,31.0,4.0,60.0,PM10,SEDANG,Jakarta_Pusat,2
12,2016-01-13,1,60.0,37.0,16.0,59.33919741346519,2.0,60.0,PM10,SEDANG,Jakarta_Pusat,2
13,2016-01-14,1,51.0,38.0,16.0,59.33919741346519,3.0,51.0,PM10,SEDANG,Jakarta_Pusat,2
14,2016-01-15,1,53.0,42.0,16.0,59.33919741346519,3.0,53.0,PM10,SEDANG,Jakarta_Pusat,2
15,2016-01-16,1,59.0,42.0,26.0,95.0,4.0,95.0,O3,SEDANG,Jakarta_Pusat,2
16,2016-01-17,1,58.0,42.0,19.0,149.0,4.0,149.0,O3,TIDAK SEHAT,Jakarta_Pusat,1
17,2016-01-18,1,73.0,44.0,32.0,87.0,4.0,87.0,O3,SEDANG,Jakarta_Pusat,2
18,2016-01-19,1,60.0,45.0,24.0,78.0,4.0,78.0,O3,SEDANG,Jakarta_Pusat,2
19,2016-01-20,1,54.0,44.0,33.0,69.0,3.0,69.0,O3,SEDANG,Jakarta_Pusat,2
20,2016-01-21,1,66.0,48.0,31.0,53.0,3.0,66.0,PM10,SEDANG,Jakarta_Pusat,2
21,2016-01-22,1,65.0,41.0,31.0,45.0,2.0,65.0,PM10,SEDANG,Jakarta_Pusat,2
22,2016-01-23,1,43.0,40.0,25.0,51.0,3.0,51.0,O3,SEDANG,Jakarta_Pusat,2
